serial_no,C1,C2,C3,C4,C5,C6,C7,C8
45,45,45,21600,90,8.25,24,Healthy,Closed
46,46,46,16800,80,6.75,18,Healthy,Closed
47,47,47,17600,80,7.75,24,Healthy,Closed
48,48,48,17600,80,6.75,18,Healthy,Live
49,49,49,17600,80,7.75,24,Healthy,Closed
50,50,50,19800,90,8,24,Healthy,Closed
51,51,51,25200,90,10.5,48,Healthy,Live
52,52,52,16800,70,4.5,18,Healthy,Closed
53,53,53,21700,70,4.75,18,Healthy,Closed
54,54,54,19600,70,5,18,Healthy,Closed
55,55,55,11400,60,4.5,18,Healthy,Closed
56,56,56,26100,90,10.5,54,Healthy,Live
57,57,57,19800,90,8,30,Healthy,Closed
58,58,58,14000,50,4.75,18,Healthy,Closed
59,59,59,22400,80,6,18,Healthy,Closed
60,60,60,12000,50,4.5,12,Healthy,Closed
61,61,61,16800,70,4.75,18,Healthy,Closed
62,62,62,12600,60,4.75,18,Healthy,Closed
63,63,63,19600,70,5,18,Healthy,Closed
64,64,64,14400,60,4.5,18,Healthy,Closed
65,65,65,13200,60,4.5,18,Healthy,Closed
66,66,66,18900,90,9,42,Healthy,Live
67,67,67,21600,90,10.25,48,Healthy,Live
68,68,68,28000,80,6.5,18,Healthy,Closed
69,69,69,26400,60,5.25,18,Healthy,Closed
70,70,70,14400,60,4.75,12,Healthy,Closed
71,71,71,14400,60,4.75,18,Healthy,Closed
72,72,72,12600,60,4.75,12,Healthy,Closed
73,73,73,16800,70,4.75,18,Healthy,Closed
74,74,74,13300,70,4.75,18,Healthy,Closed
75,75,75,34200,90,7.75,24,Healthy,Closed
76,76,76,57600,90,9,30,Healthy,Live
77,77,77,20300,70,5,18,Healthy,Closed
78,78,78,23200,80,7.25,24,Unhealthy,Live
79,79,79,16800,60,4.75,18,Healthy,Closed
80,80,80,38400,80,8,24,Healthy,Closed
81,81,81,23200,80,7.25,24,Unhealthy,Live
82,82,82,6600,30,4.25,12,Healthy,Closed
83,83,83,21000,60,5,18,Healthy,Closed
84,84,84,43200,90,8.25,24,Healthy,Closed
85,85,85,5700,30,4.25,12,Healthy,Closed
86,86,86,8800,40,4.25,12,Healthy,Closed
87,87,87,10500,50,4.25,12,Healthy,Closed
88,88,88,17400,60,4.5,18,Healthy,Closed
89,89,89,0,0,NULL,NULL,None,
90,90,90,0,0,NULL,NULL,None,
91,91,91,0,0,NULL,NULL,None,
92,92,92,17600,80,6,18,Healthy,Closed
93,93,93,16800,60,4.75,18,Healthy,Closed
94,94,94,28000,80,7.5,24,Healthy,Closed
95,95,95,7200,30,4.25,18,Defaulted,
96,96,96,16800,60,4.5,18,Healthy,Closed
97,97,97,12600,60,4.5,18,Healthy,Closed
98,98,98,16800,60,4.5,12,Healthy,Closed
99,99,99,8800,40,4.25,12,Healthy,Closed
100,100,100,0,0,NULL,NULL,None,
101,101,101,24500,70,4.5,12,Healthy,Closed
102,102,102,7600,40,4.25,12,Healthy,Closed
103,103,103,11600,40,4.25,12,Healthy,Closed
104,104,104,11200,40,4.25,12,Healthy,Closed
105,105,105,24500,70,4.5,18,Healthy,Closed
106,106,106,0,0,NULL,NULL,None,
107,107,107,14500,50,4.25,12,Healthy,Closed
108,108,108,16800,60,4.5,12,Healthy,Closed
109,109,109,15500,50,4.5,18,Healthy,Closed
110,110,110,11200,40,4.25,12,Healthy,Closed
111,111,111,20300,70,4.75,18,Healthy,Closed
112,112,112,14000,50,4.25,12,Healthy,Closed
113,113,113,11600,40,4.25,12,Healthy,Closed
114,114,114,6300,30,4.25,12,Healthy,Closed
115,115,115,15500,50,4.5,12,Healthy,Closed
116,116,116,17400,60,4.5,12,Healthy,Closed
117,117,117,21000,60,4.5,12,Healthy,Closed
118,118,118,0,0,NULL,NULL,None,
119,119,119,14400,60,4.75,18,Healthy,Closed
120,120,120,16800,70,4.75,18,Healthy,Closed
121,121,121,9300,30,4.25,12,Healthy,Closed
122,122,122,0,0,NULL,NULL,None,
123,123,123,21700,70,4.25,18,Healthy,Live
124,124,124,24500,70,5.5,24,Healthy,Closed
125,125,125,57600,90,8,36,Healthy,Closed
126,126,126,32000,50,4.5,12,Healthy,Closed
127,127,127,0,0,NULL,NULL,None,
128,128,128,0,0,NULL,NULL,None,
129,129,129,0,0,NULL,NULL,None,
130,130,130,0,0,NULL,NULL,None,
131,131,131,8400,30,4.25,12,Healthy,Closed
132,132,132,16800,70,4.5,18,Healthy,Closed
133,133,133,14400,60,4.5,12,Healthy,Closed
134,134,134,24800,80,5.5,18,Healthy,Closed
135,135,135,0,0,NULL,NULL,None,
136,136,136,8400,40,4.25,12,Healthy,Closed
137,137,137,6300,30,4.25,12,Healthy,Closed
138,138,138,21000,60,4.75,18,Healthy,Closed
139,139,139,9600,40,4.25,12,Healthy,Closed
140,140,140,18900,90,6.5,30,Healthy,Closed
141,141,141,38000,100,7,30,Healthy,Live
142,142,142,26100,90,6.75,30,Healthy,Closed
143,143,143,28000,80,7.75,36,Defaulted,
144,144,144,24500,70,4.75,18,Healthy,Closed
145,145,145,16800,60,4.5,18,Healthy,Closed
146,146,146,14400,60,4.5,12,Healthy,Closed
147,147,147,26100,90,7.75,36,Healthy,Closed
148,148,148,29000,100,8,42,Healthy,Closed
149,149,149,26100,90,6.75,30,Healthy,Closed
150,150,150,31500,90,8,36,Defaulted,
151,151,151,26100,90,8.75,48,Defaulted,
152,152,152,18900,90,6.75,24,Healthy,Closed
153,153,153,25200,90,7.75,36,Defaulted,
154,154,154,6600,30,4.25,12,Healthy,Closed
155,155,155,26100,90,7.75,36,Healthy,Closed
156,156,156,17600,80,6.5,30,Healthy,Closed
157,157,157,16800,80,7.5,36,Healthy,Live
158,158,158,26100,90,8.75,48,Healthy,Live
159,159,159,18900,90,6.75,24,Healthy,Closed
160,160,160,26100,90,7.75,36,Healthy,Live
161,161,161,26100,90,7.75,42,Defaulted,
162,162,162,26100,90,7.75,36,Healthy,Live
163,163,163,25200,90,7.75,36,Healthy,Closed
164,164,164,23200,80,7.25,24,Healthy,Closed
165,165,165,24800,80,6.25,18,Healthy,Closed
166,166,166,19600,70,5,18,Healthy,Closed
167,167,167,22400,80,6,18,Healthy,Closed
168,168,168,16800,80,5.75,18,Healthy,Closed
169,169,169,23200,80,7.25,24,Healthy,Closed
170,170,170,11400,60,5.25,18,Healthy,Closed
171,171,171,23200,80,7.25,18,Healthy,Closed
172,172,172,23200,80,6.25,18,Healthy,Closed
173,173,173,30400,80,7.5,24,Healthy,Closed
174,174,174,3800,20,4.25,12,Healthy,Closed
175,175,175,19600,70,5,18,Healthy,Closed
176,176,176,23200,80,6.25,18,Healthy,Live
177,177,177,23200,80,6.25,18,Healthy,Closed
178,178,178,12000,50,4.5,12,Healthy,Closed
179,179,179,35200,80,7.75,24,Healthy,Closed
180,180,180,21700,70,5,18,Healthy,Closed
181,181,181,14700,70,4.75,18,Healthy,Closed
182,182,182,43200,90,8.25,24,Healthy,Live
183,183,183,20300,70,5,18,Healthy,Closed
184,184,184,21700,70,5,18,Healthy,Closed
185,185,185,24800,80,6.25,18,Healthy,Closed
186,186,186,38400,80,8,24,Healthy,Live
187,187,187,14700,70,4.75,18,Healthy,Live
188,188,188,0,0,NULL,NULL,None,
189,189,189,24800,80,6.25,18,Healthy,Closed
190,190,190,45600,80,8.25,30,Healthy,Closed
191,191,191,35200,80,7.75,24,Healthy,Live
192,192,192,20300,70,5,18,Healthy,Closed
193,193,193,20300,70,5,18,Healthy,Closed
194,194,194,10500,50,4.25,18,Healthy,Closed
195,195,195,38400,80,8,24,Healthy,Closed
196,196,196,21700,70,5,18,Healthy,Closed
197,197,197,28000,80,7.5,24,Healthy,Closed
198,198,198,23200,80,6.25,18,Healthy,Closed
199,199,199,26600,70,5.25,18,Unhealthy,Live
200,200,200,35200,80,7.75,30,Unhealthy,Live
201,201,201,13200,60,4.5,18,Healthy,Closed
202,202,202,21700,70,5,18,Healthy,Closed
203,203,203,28800,60,5.5,18,Healthy,Closed
204,204,204,20300,70,5,18,Healthy,Closed
205,205,205,51200,80,7.5,18,Healthy,Closed
206,206,206,16800,70,4.75,18,Healthy,Closed
207,207,207,16800,60,4.75,18,Healthy,Closed
208,208,208,28000,80,6.5,18,Healthy,Closed
209,209,209,23200,80,7.25,24,Healthy,Closed
210,210,210,12600,60,4.75,12,Healthy,Closed
211,211,211,7600,40,4.5,12,Healthy,Closed
212,212,212,13200,60,4.75,18,Healthy,Closed
213,213,213,23200,80,6.25,18,Healthy,Closed
214,214,214,8700,30,4.25,12,Healthy,Closed
215,215,215,21700,70,4.75,18,Healthy,Closed
216,216,216,0,0,NULL,NULL,None,
217,217,217,26100,90,7.75,36,Healthy,Closed
218,218,218,10500,50,4.25,12,Healthy,Closed
219,219,219,17400,60,4.5,12,Healthy,Closed
220,220,220,44800,70,4.75,18,Healthy,Closed
221,221,221,17600,40,4.25,12,Healthy,Closed
222,222,222,0,0,NULL,NULL,None,
223,223,223,0,0,NULL,NULL,None,
224,224,224,15200,40,4.25,12,Healthy,Closed
225,225,225,14000,50,4.5,18,Healthy,Closed
226,226,226,14400,60,4.5,12,Healthy,Closed
227,227,227,20300,70,4.25,18,Healthy,Closed
228,228,228,13300,70,4.25,18,Healthy,Closed
229,229,229,26100,90,6.75,30,Healthy,Closed
230,230,230,21600,90,6.5,24,Defaulted,
231,231,231,24800,80,6.5,24,Healthy,Closed
232,232,232,24800,80,5.5,18,Healthy,Closed
233,233,233,20300,70,4.25,18,Healthy,Closed
234,234,234,9600,40,4.25,18,Healthy,Closed
235,235,235,9600,40,4.25,12,Healthy,Closed
236,236,236,11600,40,4.25,12,Healthy,Closed
237,237,237,16800,60,4.25,18,Healthy,Closed
238,238,238,24500,70,4.5,18,Healthy,Closed
239,239,239,51300,90,6.75,24,Healthy,Closed
240,240,240,6300,30,4,12,Healthy,Closed
241,241,241,21000,60,4.25,18,Healthy,Closed
242,242,242,14000,50,4.25,18,Healthy,Closed
243,243,243,24800,80,5.5,18,Healthy,Closed
244,244,244,23200,80,5.5,18,Healthy,Closed
245,245,245,12000,50,4.5,12,Healthy,Closed
246,246,246,14000,50,4.5,18,Healthy,Closed
247,247,247,12000,50,4.5,18,Healthy,Closed
248,248,248,24500,70,4.75,18,Healthy,Closed
249,249,249,13200,60,4.5,12,Healthy,Closed
250,250,250,14000,50,4.5,18,Unhealthy,Live
251,251,251,21000,60,4.75,12,Healthy,Closed
252,252,252,14000,50,4.5,18,Healthy,Closed
253,253,253,18600,60,4.5,18,Healthy,Closed
254,254,254,8400,30,4.25,12,Healthy,Closed
255,255,255,24500,70,4.75,18,Healthy,Closed
256,256,256,0,0,NULL,NULL,None,
257,257,257,0,0,NULL,NULL,None,
258,258,258,20300,70,4.75,12,Healthy,Closed
259,259,259,8400,30,4.25,12,Healthy,Closed
260,260,260,0,0,NULL,NULL,None,
261,261,261,12000,50,4.5,12,Healthy,Closed
262,262,262,26100,90,6.75,24,Healthy,Closed
263,263,263,16800,70,4.5,18,Healthy,Closed
264,264,264,19200,80,5.75,18,Healthy,Closed
265,265,265,26100,90,6.75,24,Healthy,Closed
266,266,266,8700,30,4.25,12,Healthy,Closed
267,267,267,0,0,NULL,NULL,None,
268,268,268,23200,80,7.25,30,Healthy,Closed
269,269,269,17600,80,7,24,Healthy,Closed
270,270,270,25200,90,7.25,24,Healthy,Live
271,271,271,21600,90,7,24,Healthy,Closed
272,272,272,26100,90,8.25,36,Healthy,Live
273,273,273,16800,80,5.5,18,Healthy,Closed
274,274,274,22400,80,5.75,18,Healthy,Closed
275,275,275,24800,80,6.75,24,Healthy,Live
276,276,276,22400,80,7,24,Unhealthy,Live
277,277,277,57600,90,9,30,Healthy,Closed
278,278,278,34200,90,8.75,42,Unhealthy,Live
279,279,279,15200,80,6.75,24,Healthy,Closed
280,280,280,23200,80,7.25,30,Healthy,Closed
281,281,281,14700,70,4.5,18,Healthy,Closed
282,282,282,19600,70,4.75,18,Healthy,Closed
283,283,283,51300,90,9.5,42,Healthy,Live
284,284,284,24800,80,7.25,24,Healthy,Closed
285,285,285,12600,60,4.5,18,Healthy,Closed
286,286,286,23200,80,6.75,24,Healthy,Closed
287,287,287,10500,50,4.25,18,Healthy,Closed
288,288,288,28000,80,7,30,Healthy,Closed
289,289,289,15400,70,5.5,24,Healthy,Closed
290,290,290,22400,80,5.75,18,Healthy,Closed
291,291,291,26100,90,6.75,24,Healthy,Closed
292,292,292,17600,80,5.5,18,Healthy,Closed
293,293,293,18600,60,4.5,18,Healthy,Closed
294,294,294,22400,80,6.75,24,Healthy,Closed
295,295,295,17400,60,4.5,18,Healthy,Closed
296,296,296,23200,80,5.75,18,Healthy,Closed
297,297,297,11400,60,4.5,18,Healthy,Closed
298,298,298,14700,70,4.5,18,Healthy,Live
299,299,299,31500,90,7,24,Healthy,Closed
300,300,300,23200,80,5.75,18,Healthy,Closed
301,301,301,31500,90,8,42,Healthy,Closed
302,302,302,25200,90,6.75,24,Healthy,Closed
303,303,303,31500,90,7,30,Healthy,Closed
304,304,304,16800,80,6.5,24,Healthy,Closed
305,305,305,13300,70,5.5,24,Healthy,Closed
306,306,306,26100,90,6.75,30,Healthy,Closed
307,307,307,51300,90,7.75,36,Healthy,Closed
308,308,308,57600,90,8,42,Healthy,Live
309,309,309,26600,70,5.5,30,Healthy,Closed
310,310,310,27900,90,5.5,18,Healthy,Closed
311,311,311,14400,60,4.25,18,Healthy,Closed
312,312,312,13200,60,4.25,18,Healthy,Closed
313,313,313,24500,70,4.5,18,Healthy,Closed
314,314,314,57600,90,7,24,Healthy,Closed
315,315,315,44800,70,4.75,18,Healthy,Closed
316,316,316,11200,40,4.25,18,Healthy,Closed
317,317,317,5600,20,4,12,Healthy,Closed
318,318,318,12600,60,4.25,12,Healthy,Closed
319,319,319,14500,50,4.25,18,Healthy,Closed
320,320,320,24500,70,5.5,24,Healthy,Closed
321,321,321,22400,80,6.5,24,Healthy,Closed
322,322,322,26600,70,4.75,18,Healthy,Closed
323,323,323,31500,90,6.75,30,Unhealthy,Live
324,324,324,21600,90,5.5,18,Healthy,Closed
325,325,325,14700,70,4.25,18,Healthy,Closed
326,326,326,13200,60,4.25,18,Healthy,Closed
327,327,327,23200,80,6.5,30,Healthy,Closed
328,328,328,19200,80,5.25,18,Healthy,Closed
329,329,329,51200,80,6.75,30,Healthy,Closed
330,330,330,57600,90,7,24,Healthy,Closed
331,331,331,27900,90,5.5,18,Healthy,Live
332,332,332,23200,80,6.5,30,Healthy,Closed
333,333,333,26100,90,6.5,30,Defaulted,
334,334,334,31500,90,6.5,30,Defaulted,
335,335,335,17600,80,5.25,18,Healthy,Closed
336,336,336,19600,70,4.25,18,Healthy,Closed
337,337,337,16800,70,4.25,18,Healthy,Live
338,338,338,19200,80,5.25,18,Healthy,Closed
339,339,339,28000,80,6.5,30,Healthy,Closed
340,340,340,31500,90,6.5,24,Healthy,Closed
341,341,341,57600,90,8,36,Healthy,Live
342,342,342,16800,70,5.25,24,Healthy,Closed
343,343,343,31500,90,5.5,18,Healthy,Closed
344,344,344,28000,80,5.5,18,Defaulted,
345,345,345,22400,80,6.25,24,Healthy,Closed
346,346,346,27900,90,5.5,18,Healthy,Live
347,347,347,19200,80,6.25,24,Healthy,Closed
348,348,348,17400,60,4.25,18,Healthy,Closed
349,349,349,34200,90,6.5,24,Healthy,Closed
350,350,350,28000,80,6.5,24,Healthy,Closed
351,351,351,28000,80,5.5,18,Unhealthy,Live
352,352,352,17600,80,5.25,18,Healthy,Closed
353,353,353,57600,90,8,42,Healthy,Live
354,354,354,34200,90,6.5,30,Healthy,Closed
355,355,355,0,0,NULL,NULL,None,
356,356,356,19600,70,5,18,Unhealthy,Live
357,357,357,19600,70,4.75,18,Defaulted,
358,358,358,21700,70,4.75,18,Healthy,Closed
359,359,359,21700,70,4.75,18,Healthy,Closed
360,360,360,11000,50,4.25,12,Healthy,Closed
361,361,361,24500,70,4.5,18,Healthy,Closed
362,362,362,51200,80,6.75,24,Healthy,Closed
363,363,363,19600,70,4.25,18,Healthy,Closed
364,364,364,21700,70,4.25,12,Healthy,Closed
365,365,365,8800,40,4.25,12,Healthy,Closed
366,366,366,12400,40,4.25,12,Healthy,Closed
367,367,367,20300,70,4.25,18,Unhealthy,Live
368,368,368,5800,20,4,12,Healthy,Closed
369,369,369,19200,80,5.5,18,Healthy,Closed
370,370,370,28000,80,5.75,18,Healthy,Closed
371,371,371,15500,50,4.5,18,Healthy,Closed
372,372,372,19600,70,4.5,18,Healthy,Closed
373,373,373,22400,80,5.25,18,Healthy,Closed
374,374,374,11600,40,4.25,18,Healthy,Closed
375,375,375,57600,90,7,24,Healthy,Closed
376,376,376,31500,90,7.75,42,Healthy,Live
377,377,377,31500,90,8.75,54,Defaulted,
378,378,378,26100,90,7.75,36,Healthy,Closed
379,379,379,26100,90,6.75,24,Healthy,Closed
380,380,380,31500,90,8.75,48,Healthy,Live
381,381,381,26100,90,7.75,36,Healthy,Closed
382,382,382,26100,90,7.75,36,Healthy,Closed
383,383,383,16800,80,6.5,30,Healthy,Live
384,384,384,26100,90,7.75,42,Unhealthy,Live
385,385,385,16800,60,4.25,18,Healthy,Closed
386,386,386,51300,90,6.75,30,Healthy,Closed
387,387,387,30400,80,5.5,18,Healthy,Closed
388,388,388,106200,90,8.75,42,Defaulted,
389,389,389,11400,60,4.25,12,Healthy,Closed
390,390,390,38400,60,5.75,30,Healthy,Closed
391,391,391,28000,80,5.5,18,Healthy,Closed
392,392,392,16800,70,4.25,18,Healthy,Closed
393,393,393,26600,70,4.5,18,Healthy,Closed
394,394,394,32000,50,4.5,12,Healthy,Closed
395,395,395,15500,50,4.25,12,Healthy,Closed
396,396,396,22000,50,4.25,12,Healthy,Closed
397,397,397,0,0,NULL,NULL,None,
398,398,398,24800,80,6.25,18,Healthy,Closed
399,399,399,34200,90,6.75,18,Unhealthy,Live
400,400,400,17500,50,4.5,18,Healthy,Closed
401,401,401,0,0,NULL,NULL,None,
402,402,402,17600,80,5.5,18,Healthy,Live
403,403,403,17600,80,6.5,24,Healthy,Closed
404,404,404,0,0,NULL,NULL,None,
405,405,405,57600,90,7,24,Healthy,Closed
406,406,406,11200,40,4.25,12,Healthy,Closed
407,407,407,51200,80,6.75,24,Healthy,Live
408,408,408,9500,50,4.25,12,Healthy,Closed
409,409,409,21700,70,4.25,18,Healthy,Closed
410,410,410,25200,90,7.75,36,Defaulted,
411,411,411,26100,90,7.75,36,Defaulted,
412,412,412,64000,100,10.5,60,Healthy,Live
413,413,413,34200,90,7.75,42,Defaulted,
414,414,414,16800,60,4.25,12,Healthy,Closed
415,415,415,57600,90,7,30,Healthy,Closed
416,416,416,14000,50,4.25,18,Healthy,Closed
417,417,417,23200,80,5.5,18,Healthy,Closed
418,418,418,21000,60,4.25,18,Healthy,Closed
419,419,419,14700,70,4.25,18,Healthy,Closed
420,420,420,5600,20,4,12,Healthy,Closed
421,421,421,0,0,NULL,NULL,None,
422,422,422,0,0,NULL,NULL,None,
423,423,423,0,0,NULL,NULL,None,
424,424,424,26100,90,6.75,30,Defaulted,
425,425,425,26100,90,6.75,30,Defaulted,
426,426,426,21600,90,7.75,36,Defaulted,
427,427,427,31500,90,6.5,24,Healthy,Closed
428,428,428,20300,70,4.25,18,Healthy,Closed
429,429,429,57600,90,8,36,Healthy,Closed
430,430,430,17400,60,4.25,18,Healthy,Closed
431,431,431,13200,30,4.25,12,Healthy,Closed
432,432,432,51200,80,6.75,24,Healthy,Closed
433,433,433,14400,60,4.25,12,Healthy,Closed
434,434,434,51200,80,6.75,24,Healthy,Closed
435,435,435,24500,70,4.5,18,Unhealthy,Live
436,436,436,0,0,NULL,NULL,None,
437,437,437,8700,30,4.25,12,Healthy,Closed
438,438,438,30800,70,4.5,18,Healthy,Closed
439,439,439,45600,80,5.75,18,Healthy,Closed
440,440,440,14500,50,4.5,18,Healthy,Closed
441,441,441,15400,70,4.5,18,Healthy,Closed
442,442,442,8400,30,4.25,12,Healthy,Closed
443,443,443,21000,60,4.5,12,Healthy,Closed
444,444,444,13300,70,4.75,18,Healthy,Closed
445,445,445,21700,70,5,18,Healthy,Closed
446,446,446,14500,50,4.5,18,Healthy,Closed
447,447,447,21700,70,4.75,18,Healthy,Closed
448,448,448,6600,30,4.25,12,Healthy,Closed
449,449,449,7600,40,4.25,12,Healthy,Closed
450,450,450,31500,90,7.75,36,Defaulted,
451,451,451,14400,60,5.25,24,Healthy,Closed
452,452,452,26100,90,6.75,24,Healthy,Closed
453,453,453,26100,90,6.75,30,Healthy,Closed
454,454,454,17100,90,6.5,24,Healthy,Closed
455,455,455,21600,90,6.5,24,Healthy,Closed
456,456,456,19200,80,6.5,30,Healthy,Live
457,457,457,27900,90,6.75,30,Healthy,Closed
458,458,458,16800,80,5.5,18,Healthy,Closed
459,459,459,23200,80,6.5,24,Healthy,Closed
460,460,460,19800,90,6.5,24,Healthy,Closed
461,461,461,26100,90,5.75,18,Healthy,Closed
462,462,462,17100,90,6.5,24,Healthy,Live
463,463,463,22400,80,6.25,24,Healthy,Closed
464,464,464,28000,80,6.5,24,Healthy,Closed
465,465,465,16800,70,4.25,18,Healthy,Closed
466,466,466,30800,70,5.5,24,Healthy,Closed
467,467,467,19200,80,5.25,18,Healthy,Live
468,468,468,27900,90,6.5,24,Healthy,Closed
469,469,469,17600,80,6.25,24,Healthy,Closed
470,470,470,23200,80,6.5,24,Healthy,Live
471,471,471,11200,40,4.25,12,Healthy,Closed
472,472,472,18600,60,4.5,12,Healthy,Closed
473,473,473,21000,60,4.75,18,Healthy,Closed
474,474,474,14000,50,4.5,12,Healthy,Closed
475,475,475,6300,30,4.25,12,Healthy,Closed
476,476,476,8400,30,4.25,12,Unhealthy,Live
477,477,477,19600,70,4.75,12,Healthy,Closed
478,478,478,14000,50,4.5,18,Healthy,Closed
479,479,479,0,0,NULL,NULL,None,
480,480,480,14000,40,4.5,18,Healthy,Closed
481,481,481,0,0,NULL,NULL,None,
482,482,482,16800,60,4.5,18,Healthy,Closed
483,483,483,6300,30,4.25,12,Healthy,Closed
484,484,484,16800,60,4.5,12,Healthy,Closed
485,485,485,0,0,NULL,NULL,None,
486,486,486,10500,50,4.25,12,Healthy,Closed
487,487,487,0,0,NULL,NULL,None,
488,488,488,38400,80,8,24,Unhealthy,Live
489,489,489,11400,60,4.5,18,Healthy,Closed
490,490,490,22400,80,6,18,Healthy,Closed
491,491,491,14700,70,4.75,18,Healthy,Closed
492,492,492,14400,60,4.5,12,Healthy,Closed
493,493,493,11600,40,4.5,18,Healthy,Closed
494,494,494,11000,50,4.25,12,Healthy,Closed
495,495,495,14000,50,4.25,12,Healthy,Closed
496,496,496,15500,50,4.5,18,Healthy,Closed
497,497,497,0,0,NULL,NULL,None,
498,498,498,0,0,NULL,NULL,None,
499,499,499,9600,40,4.25,12,Healthy,Closed
500,500,500,11200,40,4.25,12,Healthy,Closed
501,501,501,25200,90,6.5,24,Healthy,Live
502,502,502,57600,90,8,42,Healthy,Live
503,503,503,26100,90,6.5,30,Healthy,Closed
504,504,504,14500,50,4.25,12,Healthy,Closed
505,505,505,9600,40,4.25,12,Healthy,Closed
506,506,506,14400,60,4.25,18,Healthy,Closed
507,507,507,12600,60,4.25,12,Healthy,Closed
508,508,508,11600,40,4.25,12,Healthy,Closed
509,509,509,12000,50,4.25,12,Healthy,Closed
510,510,510,12400,40,4.25,12,Healthy,Closed
511,511,511,11600,40,4.25,12,Healthy,Closed
512,512,512,4200,20,4,12,Healthy,Closed
513,513,513,5700,30,4.25,12,Healthy,Closed
514,514,514,15500,50,4.5,12,Healthy,Closed
515,515,515,14000,50,4.25,18,Healthy,Closed
516,516,516,0,0,NULL,NULL,None,
517,517,517,19800,90,6.5,24,Healthy,Live
518,518,518,26100,90,7.75,36,Healthy,Closed
519,519,519,16800,80,7.75,24,Healthy,Closed
520,520,520,17600,80,7.75,24,Healthy,Closed
521,521,521,16800,80,6.75,18,Healthy,Closed
522,522,522,17600,80,6.75,18,Healthy,Closed
523,523,523,19800,90,8,30,Defaulted,
524,524,524,22400,80,8.25,30,Healthy,Live
525,525,525,5700,30,4.5,18,Healthy,Closed
526,526,526,26100,90,9.5,36,Defaulted,
527,527,527,15200,80,7.5,24,Healthy,Closed
528,528,528,13300,70,5.25,18,Defaulted,
529,529,529,17100,90,7.75,24,Healthy,Closed
530,530,530,17100,90,8.75,36,Healthy,Closed
531,531,531,18900,90,8,24,Defaulted,
532,532,532,13300,70,5.25,18,Healthy,Closed
533,533,533,16800,80,7.75,24,Healthy,Closed
534,534,534,19800,90,7,18,Defaulted,
535,535,535,17600,80,6.75,18,Healthy,Closed
536,536,536,17100,90,7.75,30,Defaulted,
537,537,537,19800,90,10,48,Defaulted,
538,538,538,14700,70,4.25,18,Healthy,Closed
539,539,539,20300,70,5.5,24,Healthy,Closed
540,540,540,31500,90,7,24,Healthy,Closed
541,541,541,15400,70,4.5,18,Healthy,Closed
542,542,542,22400,80,6.75,24,Healthy,Closed
543,543,543,19200,80,6.75,24,Healthy,Closed
544,544,544,15400,70,4.5,18,Healthy,Closed
545,545,545,17400,60,4.5,18,Healthy,Closed
546,546,546,12000,50,4.25,12,Healthy,Closed
547,547,547,26100,90,6.5,30,Healthy,Closed
548,548,548,16800,80,5.25,18,Healthy,Closed
549,549,549,19800,90,6.25,30,Healthy,Live
550,550,550,20300,70,5.25,24,Healthy,Closed
551,551,551,26100,90,6.5,24,Defaulted,
552,552,552,24800,80,5.5,18,Healthy,Closed
